Country or currency union;Central bank interest rate (%);Date of last change
Albania;1.05;4 May 2016
Angola;16.0;30 June 2016
Argentina;26.25;11 April 2017
Armenia;6.0;14 February 2017
Australia;1.5;2 August 2016
Azerbaijan;15.0;9 September 2016
Bahamas;4.0;22 December 2016
Bahrain;1.51;14 June 2017
Bangladesh;6.75;14 January 2016
Belarus;12.0;28 June 2017
Botswana;5.5;12 August 2016
Brazil;7.25;26 July 2017
Bulgaria;0.0;29 January 2016
Canada;1.25;17 January 2018
Cape Verde;3.5;16 February 2015
Central African States;2.95;22 March 2017
Chile;2.5;8 May 2017
China;1.75;23 October 2015
Colombia;5.5;27 July 2017
DR Congo;14.0;14 January 2017
Croatia;2.5;20 October 2015
Czech Republic;0.25;3 August 2017
Denmark;-0.65;7 January 2016
Dominican Republic;5.25;31 July 2017
Egypt;18.75;6 July 2017
Eurozone;0.0;10 March 2016
Fiji;0.5;2 November 2011
Gambia;20.0;9 May 2017
Georgia;7.0;2 May 2017
Ghana;20.0;24 July 2017
Hong Kong;1.5;15 June 2017
Hungary;0.9;24 May 2016
Iceland;4.5;14 June 2017
India;6.0;2 August 2017
Indonesia;4.75;20 October 2016
Iran;10.0;22 August 2017
Israel;0.1;23 February 2015
Jamaica;5.0;21 May 2016
Japan;-0.1;29 January 2016
Jordan;3.75;15 June 2017
Kazakhstan;10.5;15 June 2017
Kenya;10.0;20 September 2016
Kuwait;2.75;15 March 2017
Kyrgyzstan;5.0;27 December 2016
Macedonia;3.25;15 February 2017
Malawi;18.0;5 July 2017
Malaysia;3.0;13 July 2016
Mauritius;4.0;20 July 2016
Mexico;7.0;22 June 2017
Moldova;8.0;29 June 2017
Mongolia;12.0;16 June 2017
Morocco;2.25;22 March 2016
Mozambique;21.75;15 April 2017
Namibia;7.0;13 April 2016
New Zealand;1.75;10 October 2016
Nigeria;14.0;26 July 2016
Norway;0.5;17 March 2016
Pakistan;5.75;21 May 2016
Paraguay;5.5;20 July 2016
Peru;3.75;13 July 2017
Philippines;3.0;3 June 2014
Poland;1.5;4 March 2015
Qatar;5.0;16 March 2017
Romania;1.75;6 May 2015
Russia;7.25;23 March 2018
Rwanda;6.0;27 June 2017
Samoa;0.14;1 July 2016
Saudi Arabia;2.0;19 January 2009
Serbia;3.5;9 October 2017
Sierra Leone;13.0;15 June 2017
South Africa;6.75;21 July 2017
South Korea;1.25;9 June 2016
Sri Lanka;7.25;23 March 2017
Sweden;-0.5;11 February 2016
Switzerland;-0.75;15 January 2015
Taiwan;1.375;30 June 2016
Tajikistan;16.0;20 March 2017
Thailand;1.5;29 April 2015
Trinidad and Tobago;4.75;4 December 2015
Tunisia;5.0;24 May 2017
Turkey;8.0;24 November 2016
Uganda;10.0;19 June 2017
Ukraine;12.5;26 May 2017
UAE;2.0;14 June 2017
United Kingdom;0.5;2 November 2017
United States;1.5;13 December 2017
Uzbekistan;9.0;1 January 2015
Vietnam;6.25;7 July 2017
West African States;3.5;16 September 2013
Zambia;12.5;17 May 2017
